N,Processes,Iteration,Send_Time,Comp_Time,Recv_Time,Total_Time,Status
10000,1,1,0.000001,0.277568,0.000095,0.277664,OK
10000,1,2,0.000001,0.283441,0.000085,0.283527,OK
10000,1,3,0.000001,0.278155,0.000081,0.278238,OK
10000,1,4,0.000001,0.280367,0.000080,0.280448,OK
10000,2,1,0.000135,0.132004,0.000083,0.132223,OK
10000,2,2,0.000493,0.154021,0.000091,0.154605,OK
10000,2,3,0.000172,0.134445,0.000085,0.134702,OK
10000,2,4,0.000134,0.133153,0.000087,0.133374,OK
10000,4,1,0.004228,0.167106,0.000110,0.171444,OK
10000,4,2,0.000773,0.107304,0.000086,0.108163,OK
10000,4,3,0.007645,0.103031,0.000090,0.110767,OK
10000,4,4,0.000327,0.106359,0.000088,0.106774,OK
10000,8,1,0.002337,0.189023,0.000115,0.191475,OK
10000,8,2,0.002411,0.156355,0.000109,0.158875,OK
10000,8,3,0.002039,0.110396,0.000089,0.112524,OK
10000,8,4,0.001523,0.171404,0.000112,0.173039,OK
50000,1,1,0.000001,6.454093,0.000408,6.454502,OK
50000,1,2,0.000000,6.392863,0.000531,6.393394,OK
50000,1,3,0.000000,6.376665,0.000403,6.377068,OK
50000,1,4,0.000000,6.351471,0.000450,6.351921,OK
50000,2,1,0.000568,3.296196,0.000372,3.297137,OK
50000,2,2,0.000252,3.286823,0.000373,3.287447,OK
50000,2,3,0.000929,3.308324,0.000370,3.309623,OK
50000,2,4,0.000933,3.312224,0.000396,3.313552,OK
50000,4,1,0.001712,2.645827,0.000388,2.647927,OK
50000,4,2,0.001063,2.592312,0.000400,2.593775,OK
50000,4,3,0.000694,2.587781,0.000385,2.588860,OK
50000,4,4,0.000802,2.592102,0.000375,2.593280,OK
50000,8,1,0.002328,3.087084,0.000385,3.089797,OK
50000,8,2,0.002586,3.090045,0.000439,3.093070,OK
50000,8,3,0.002462,3.113339,0.000392,3.116193,OK
50000,8,4,0.002073,3.126050,0.000680,3.128803,OK
100000,1,1,0.000001,25.415239,0.000827,25.416066,OK
100000,1,2,0.000000,25.363444,0.000808,25.364253,OK
100000,1,3,0.000000,25.426484,0.000826,25.427311,OK
100000,1,4,0.000000,25.358774,0.000828,25.359602,OK
100000,2,1,0.001103,13.143236,0.000738,13.145077,OK
100000,2,2,0.000497,13.121345,0.000813,13.122655,OK
100000,2,3,0.001812,13.126218,0.000775,13.128805,OK
100000,2,4,0.000585,13.094388,0.000790,13.095763,OK
100000,4,1,0.001339,10.336600,0.000731,10.338671,OK
100000,4,2,0.002060,10.427609,0.000736,10.430405,OK
100000,4,3,0.002170,10.407917,0.000805,10.410891,OK
100000,4,4,0.002374,10.421576,0.000752,10.424701,OK
100000,8,1,0.005995,12.279570,0.000734,12.286300,OK
100000,8,2,0.004841,12.166737,0.000743,12.172321,OK
100000,8,3,0.004484,12.181188,0.000772,12.186444,OK
100000,8,4,0.009052,12.291346,0.001431,12.301828,OK
200000,1,1,0.000000,101.488791,0.001719,101.490510,OK
200000,1,2,0.000001,101.781811,0.001675,101.783486,OK
200000,1,3,0.000000,101.866412,0.001655,101.868068,OK
200000,1,4,0.000000,101.521966,0.001682,101.523648,OK
200000,2,1,0.002146,52.912468,0.001495,52.916109,OK
200000,2,2,0.001129,52.960387,0.001714,52.963230,OK
200000,2,3,0.001106,52.650568,0.001554,52.653228,OK
200000,2,4,0.001124,52.547337,0.001524,52.549985,OK
200000,4,1,0.002038,42.439568,0.001501,42.443107,OK
200000,4,2,0.002886,42.260243,0.001501,42.264630,OK
200000,4,3,0.002053,42.271131,0.001506,42.274689,OK
200000,4,4,0.002006,42.438734,0.001531,42.442271,OK
200000,8,1,0.012848,50.981746,0.001451,50.996046,OK
200000,8,2,0.010225,50.895588,0.001490,50.907303,OK
200000,8,3,0.009429,49.821285,0.002796,49.833510,OK
200000,8,4,0.008262,50.493600,0.001444,50.503306,OK
